,delivery_id,id_source,delivery_cost_sds,radius,delivery_options,promo,delivery,take_away,dine_in
9868,delv_9868,4-C2ATT3LXSFE2EN,5.6,4999,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
9869,delv_9869,4-C2M2NFVYJ8JKR6,4.1,4999,ONLY_DELIVERY,20% off Main Course ,True,False,False
9870,delv_9870,4-CZJWLFDZVF2TTX,5.0,2000,ONLY_DELIVERY,No Promotion available,True,False,False
9871,delv_9871,4-CZDVA3CAE4CKL6,3.9,5000,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
9872,delv_9872,4-CZB1NAKFLY6ZWE,3.3,2500,ONLY_DELIVERY,No Promotion available,True,False,False
9873,delv_9873,4-CZM1NLKHTUCDA6,3.8,4999,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
9874,delv_9874,4-C2LFTY61E2TEMA,4.4,10000,ONLY_DELIVERY,No Promotion available,True,False,False
9875,delv_9875,4-CZDJSEXTEBVAVX,5.2,5000,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
9876,delv_9876,4-CY6AJ3XBGUA2JT,4.6,5000,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
9877,delv_9877,4-C2TYPFVEHB32AE,5.0,2500,DELIVERY_TAKEAWAY,No Promotion available,True,True,False
9878,delv_9878,4-C2JFDFWWA2B3AA,19.2,5000,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
9879,delv_9879,4-C2AYJXKHJGB2E2,16.6,5000,DELIVERY_TAKEAWAY,10% OFF Total Order ($20.00 min spend),True,True,False
9880,delv_9880,4-C2TYSBVHTVNAGJ,17.3,2500,DELIVERY_TAKEAWAY,Get a free 1. Mango Smoothie 500cc with S$25.00 min. order,True,True,False
9881,delv_9881,SGDD08377,4.8,3000,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
9882,delv_9882,4-CZDGNEXXPBTELJ,4.7,4999,DELIVERY_TAKEAWAY,No Promotion available,True,True,False
9883,delv_9883,4-CZACVE3CJBLCDE,16.7,5000,ONLY_DELIVERY,No Promotion available,True,False,False
9884,delv_9884,4-CZDZEP3EBCEHJJ,4.8,5000,DELIVERY_TAKEAWAY,No Promotion available,True,True,False
9885,delv_9885,4-C2T2KCD3SBLGCE,4.6,2500,DELIVERY_TAKEAWAY,15% off 2 Pax Deal,True,True,False
9886,delv_9886,4-CZE1RUATCU4CRA,5.0,5000,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
9887,delv_9887,4-CYLXGETZATX2WA,3.0,4999,DELIVERY_TAKEAWAY,No Promotion available,True,True,False
9888,delv_9888,SGDD06542,5.3,5000,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
9889,delv_9889,4-C2EHCBCHCYMFV2,1.99,9999,ONLY_DELIVERY,"Enjoy 20% off min. spend $25 with promo code ""GROCERIES""!",True,False,False
9890,delv_9890,4-CYMUL4NUG33DT6,17.9,5000,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
9891,delv_9891,SGDD09193,3.8,4999,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
